flow,duration,cap,seed,result
0.33,0.2,5,4,-1699
0.33,0.2,6,0,-1272
0.33,0.2,6,1,-1067
0.33,0.2,6,2,-1414
0.33,0.2,6,3,-101323
0.33,0.2,6,4,-101164
0.33,0.2,7,0,-1232
0.33,0.2,7,1,-1143
0.33,0.2,7,2,-1569
0.33,0.2,7,3,-102065
0.33,0.2,7,4,-101698
0.33,0.2,8,0,-1169
0.33,0.2,8,1,-1299
0.33,0.2,8,2,-1454
0.33,0.2,8,3,-102175
0.33,0.2,8,4,-1536
0.33,0.2,9,0,-1337
0.33,0.2,9,1,-1329
0.33,0.2,9,2,-1740
0.33,0.2,9,3,-102191
0.33,0.2,9,4,-101196
0.33,0.25,1,0,-1033
0.33,0.25,1,1,-1219
0.33,0.25,1,2,-101338
0.33,0.25,1,3,-101418
0.33,0.25,1,4,-1219
0.33,0.25,2,0,-1208
0.33,0.25,2,1,-1562
0.33,0.25,2,2,-101647
0.33,0.25,2,3,-101457
0.33,0.25,2,4,-1378
0.33,0.25,3,0,-1114
0.33,0.25,3,1,-101718
0.33,0.25,3,2,-101586
0.33,0.25,3,3,-1181
0.33,0.25,3,4,-1368
0.33,0.25,4,0,-1225
0.33,0.25,4,1,-1101
0.33,0.25,4,2,-101863
0.33,0.25,4,3,-1213
0.33,0.25,4,4,-1364
0.33,0.25,5,0,-1229
0.33,0.25,5,1,-101617
0.33,0.25,5,2,-101756
0.33,0.25,5,3,-1478
0.33,0.25,5,4,-1269
0.33,0.25,6,0,-1396
0.33,0.25,6,1,-101526
0.33,0.25,6,2,-101671
0.33,0.25,6,3,-101651
0.33,0.25,6,4,-101730
0.33,0.25,7,0,-1362
0.33,0.25,7,1,-1281
0.33,0.25,7,2,-101665
0.33,0.25,7,3,-102167
0.33,0.25,7,4,-1512
0.33,0.25,8,0,-1349
0.33,0.25,8,1,-101136
0.33,0.25,8,2,-101467
0.33,0.25,8,3,-101964
0.33,0.25,8,4,-101098
0.33,0.25,9,0,-1497
0.33,0.25,9,1,-101627
0.33,0.25,9,2,-1795
0.33,0.25,9,3,-1729
0.33,0.25,9,4,-101310
0.33,0.33,1,0,-1686
0.33,0.33,1,1,-101434
0.33,0.33,1,2,-101675
0.33,0.33,1,3,-101780
0.33,0.33,1,4,-102472
0.33,0.33,2,0,-101631
0.33,0.33,2,1,-101867
0.33,0.33,2,2,-101969
0.33,0.33,2,3,-101510
0.33,0.33,2,4,-101991
0.5,0.2,1,0,-644
0.5,0.2,1,1,-633
0.5,0.2,1,2,-827
0.5,0.2,1,3,-784
0.5,0.2,1,4,-674
0.5,0.2,2,0,-622
0.5,0.2,2,1,-725
0.5,0.2,2,2,-770
0.5,0.2,2,3,-759
0.5,0.2,2,4,-662
0.5,0.2,3,0,-608
0.5,0.2,3,1,-667
0.5,0.2,3,2,-1134
0.5,0.2,3,3,-897
0.5,0.2,3,4,-711
0.5,0.2,4,0,-580
0.5,0.2,4,1,-663
0.5,0.2,4,2,-819
0.5,0.2,4,3,-101388
0.5,0.2,4,4,-640
0.5,0.2,5,0,-699
0.5,0.2,5,1,-708
0.5,0.2,5,2,-750
0.5,0.2,5,3,-809
0.5,0.2,5,4,-773
0.5,0.2,6,0,-714
0.5,0.2,6,1,-673
0.5,0.2,6,2,-905
0.5,0.2,6,3,-902
0.5,0.2,6,4,-883
0.5,0.2,7,0,-764
0.5,0.2,7,1,-782
0.5,0.2,7,2,-101668
0.5,0.2,7,3,-912
0.5,0.2,7,4,-891
0.5,0.2,8,0,-767
0.5,0.2,8,1,-691
0.5,0.2,8,2,-850
0.5,0.2,8,3,-971
0.5,0.2,8,4,-929
0.5,0.2,9,0,-884
0.5,0.2,9,1,-762
0.5,0.2,9,2,-805
0.5,0.2,9,3,-1098
0.5,0.2,9,4,-839
0.5,0.25,1,0,-739
0.5,0.25,1,1,-807
0.5,0.25,1,2,-955
0.5,0.25,1,3,-963
0.5,0.25,1,4,-846
0.5,0.25,2,0,-721
0.5,0.25,2,1,-871
0.5,0.25,2,2,-876
0.5,0.25,2,3,-1008
0.5,0.25,2,4,-793
0.5,0.25,3,0,-715
0.5,0.25,3,1,-1213
0.5,0.25,3,2,-989
0.5,0.25,3,3,-892
0.5,0.25,3,4,-723
0.5,0.25,4,0,-735
0.5,0.25,4,1,-925
0.5,0.25,4,2,-817
0.5,0.25,4,3,-986
0.5,0.25,4,4,-806
0.5,0.25,5,0,-874
0.5,0.25,5,1,-933
0.5,0.25,5,2,-957
0.5,0.25,5,3,-833
0.5,0.25,5,4,-931
0.5,0.25,6,0,-848
0.5,0.25,6,1,-744
0.5,0.25,6,2,-1046
0.5,0.25,6,3,-1117
0.5,0.25,6,4,-870
0.5,0.25,7,0,-920
0.5,0.25,7,1,-787
0.5,0.25,7,2,-919
0.5,0.25,7,3,-1014
0.5,0.25,7,4,-885
0.5,0.25,8,0,-802
0.5,0.25,8,1,-889
0.5,0.25,8,2,-995
0.5,0.25,8,3,-1077
0.5,0.25,8,4,-924
0.5,0.25,9,0,-1011
