flow,duration,cap,seed,result
2.0,0.2,6,2,-657
2.0,0.2,6,3,-879
2.0,0.2,6,4,-649
2.0,0.2,7,0,-102886
2.0,0.2,7,1,-101838
2.0,0.2,7,2,-102157
2.0,0.2,7,3,-102984
2.0,0.2,7,4,-101940
2.0,0.2,8,0,-101843
2.0,0.2,8,1,-101056
2.0,0.2,8,2,-101417
2.0,0.2,8,3,-101234
2.0,0.2,8,4,-100658
2.0,0.2,9,0,-101044
2.0,0.2,9,1,-101837
2.0,0.2,9,2,-101351
2.0,0.2,9,3,-100812
2.0,0.2,9,4,-101558
2.0,0.25,1,0,-102101
2.0,0.25,1,1,-101147
2.0,0.25,1,2,-101222
2.0,0.25,1,3,-100942
2.0,0.25,1,4,-101204
2.0,0.25,2,0,-101387
2.0,0.25,2,1,-101714
2.0,0.25,2,2,-102021
2.0,0.25,2,3,-101471
2.0,0.25,2,4,-101269
2.0,0.25,3,0,-484
2.0,0.25,3,1,-489
2.0,0.25,3,2,-963
2.0,0.25,3,3,-540
2.0,0.25,3,4,-495
2.0,0.25,4,0,-127
2.0,0.25,4,1,-122
2.0,0.25,4,2,-172
2.0,0.25,4,3,-141
2.0,0.25,4,4,-120
2.0,0.25,5,0,-161
2.0,0.25,5,1,-168
2.0,0.25,5,2,-171
2.0,0.25,5,3,-218
2.0,0.25,5,4,-168
2.0,0.25,6,0,-814
2.0,0.25,6,1,-793
2.0,0.25,6,2,-641
2.0,0.25,6,3,-943
2.0,0.25,6,4,-710
2.0,0.25,7,0,-101644
2.0,0.25,7,1,-101848
2.0,0.25,7,2,-101469
2.0,0.25,7,3,-102437
2.0,0.25,7,4,-101343
2.0,0.25,8,0,-101671
2.0,0.25,8,1,-101177
2.0,0.25,8,2,-101727
2.0,0.25,8,3,-101366
2.0,0.25,8,4,-101674
2.0,0.25,9,0,-102163
2.0,0.25,9,1,-101122
2.0,0.25,9,2,-101146
2.0,0.25,9,3,-100672
2.0,0.25,9,4,-100662
2.0,0.33,1,0,-101968
2.0,0.33,1,1,-101263
2.0,0.33,1,2,-100936
2.0,0.33,1,3,-102363
2.0,0.33,1,4,-100887
2.0,0.33,2,0,-100932
2.0,0.33,2,1,-101750
2.0,0.33,2,2,-101726
2.0,0.33,2,3,-100774
2.0,0.33,2,4,-101006
2.0,0.33,3,0,-979
2.0,0.33,3,1,-102078
2.0,0.33,3,2,-101677
2.0,0.33,3,3,-102497
2.0,0.33,3,4,-101069
2.0,0.33,4,0,-254
2.0,0.33,4,1,-204
2.0,0.33,4,2,-314
2.0,0.33,4,3,-289
2.0,0.33,4,4,-262
2.0,0.33,5,0,-186
2.0,0.33,5,1,-192
