OBJECTID,BLOCKID,ROWNBR,BLOCK_ST,BLOCK_END,WIDTH_OFFS,GEOBASYS,SPACELENGT,SPACETYPE,SPACETYPED,TIME_LIMIT,SPACE_NB,CATEGORY,SIDE,CURRENT_ST,ELMNTKEY,SHAPE_Leng
3853,OW-25,,113.000000000000000,120.000000000000000,23,,7,CLR,CLEARANCE,,,NP,SW,INSVC,36113,6.991162478235379
3866,OW-25,,135.500000000000000,152.500000000000000,-23,,17,PS,PAY STATION,240,-10,PAID,NE,INSVC,36114,16.978627853855279
3870,25-01,,216.000000000000000,222.000000000000000,-21,,6,CLR,CLEARANCE,,,NP,SE,INSVC,13346,5.983632587288595
3900,26-01,,87.000000000000000,105.000000000000000,24,,18,PS,PAY STATION,240,-04,PAID,NW,INSVC,58617,17.946893619244488
3946,01-24,,148.500000000000000,167.500000000000000,30,,19,PLZ,PASSENGER LOAD ZONE,3,-11,ZONE,SW,INSVC,1025,18.980662905390037
3947,26-01,,78.000000000000000,85.000000000000000,-24,,7,CLR,CLEARANCE,,,NP,SE,INSVC,58618,6.979364754695839
3990,25-01,,104.500000000000000,122.500000000000000,21,,18,PS,PAY STATION,240,-06,PAID,NW,INSVC,13345,17.950854738030571
4021,26-03,,64.000000000000000,83.500000000000000,25,,20,PS-CAR,PAY STATION - CARPOOL,240,-02,CARPOOL,NW,INSVC,81289,19.492296873499740
4032,OW-23,,394.000000000000000,404.000000000000000,25,,10,XW,CROSSWALK,,,NS,SW,INSVC,13521,9.984577905104393
4053,OW-23,,372.000000000000000,394.000000000000000,25,,22,PS,PAY STATION,240,-31,PAID,SW,INSVC,13521,21.966030938098957
4066,26-01,,173.000000000000000,180.500000000000000,-24,,8,CLR,CLEARANCE,,,NP,SE,INSVC,58618,7.477874518264225
4085,OW-25,,48.500000000000000,67.500000000000000,23,,19,PS,PAY STATION,240,-03,PAID,SW,INSVC,36113,18.976059757094642
4110,01-23,,402.500000000000000,419.500000000000000,29,,17,PS-TAX,PAY STATION - TAXI,240,-35,PAID,SW,INSVC,24041,16.962331920681027
4222,25-01,,60.000000000000000,78.500000000000000,21,,18,PS,PAY STATION,240,-02,PAID,NW,INSVC,13345,18.449459242496847
